Sample,Feature,Length (um),Area (um2)
TB12.2644.A,1a,1605.65,138771.42
TB12.2644.A,1b,1326.23,92395.09
TB12.2644.A,1c,1059.87,52868.46
TB12.2644.A,2a,1516.72,116535.49
TB12.2644.A,2b,1186.62,62889.68
TB12.2644.A,2c,965.24,29042.95
TB12.2644.A,3a,1692.92,102432.88
TB12.2644.A,3b,1444.87,56201.63
TB12.2644.A,3c,1221.64,27406.67
TB12.2644.A,4a,1344.26,73397.21
TB12.2644.A,4b,1133.18,31775.6
TB12.2644.A,4c,877.89,12871.33
Sample,Feature,Length (um),Area (um2)
TB12.2644.C,1a,1923.9,192393.01
TB12.2644.C,1b,1513.26,85967.46
TB12.2644.C,1c,1250.83,50170.33
TB12.2644.C,2a,2013.91,95769.43
TB12.2644.C,2b,1648.11,52469.62
TB12.2644.C,2c,1324.72,28191.55
TB12.2644.C,3a,774.95,27542.59
TB12.2644.C,3b,629.06,13875.33
TB12.2644.C,3c,569.23,11602.52
TB12.2644.C,4a,742.9,24239.29
TB12.2644.C,4b,624.54,14744.3
TB12.2644.C,4c,522.19,9390.7
Sample,Feature,Length (um),Area (um2)
TB12.2644.E,1a,1585.11,129498.31
TB12.2644.E,1b,1243.54,77682.55
TB12.2644.E,1c,1017.41,45868.67
TB12.2644.E,2a,1277.58,59119.89
TB12.2644.E,2b,929.28,33424.04
TB12.2644.E,2c,878.57,29939.52
TB12.2644.E,3a,800.68,35818.22
TB12.2644.E,3b,571.86,15575.99
TB12.2644.E,3c,526.85,12735.66
TB12.2644.E,4a,894.26,46665.85
TB12.2644.E,4b,700.38,28117.76
TB12.2644.E,4c,620.13,21695.02
Sample,Feature,Length (um),Area (um2)
TB12.2697.A,1a,530.89,15626.07
TB12.2697.A,1b,411.08,8952.95
TB12.2697.A,1c,372.47,7624.15
TB12.2697.A,2a,1023.72,54235.41
TB12.2697.A,2b,704.89,31045.06
TB12.2697.A,2c,704.89,31045.06
TB12.2697.A,3a,1260.33,72616.59
TB12.2697.A,3b,926.14,35971.2
TB12.2697.A,3c,926.14,35971.2
TB12.2697.A,4a,3277.08,339160.06
TB12.2697.A,4b,2721.74,181298.14
TB12.2697.A,4c,2721.74,181298.14
Sample,Feature,Length (um),Area (um2)
TB12.2697.C,1a,2721.69,408916.38
TB12.2697.C,1b,1937.52,228366.72
TB12.2697.C,1c,1896.88,207976.78
TB12.2697.C,2a,4167.18,606650.31
TB12.2697.C,2b,3376.14,358239.28
TB12.2697.C,2c,3177.77,310326.07
TB12.2697.C,3a,913,52101.53
TB12.2697.C,3b,693.62,29060.39
TB12.2697.C,3c,693.62,29060.39
TB12.2697.C,4a,1096.35,53181.34
TB12.2697.C,4b,882.21,31256.9
TB12.2697.C,4c,882.21,31256.9
Sample,Feature,Length (um),Area (um2)
TB12.2697.E,1a,1713.86,158968.71
TB12.2697.E,1b,1365.72,106058.71
TB12.2697.E,1c,1267.8,97072
TB12.2697.E,2a,1114.05,67342.81
TB12.2697.E,2b,874.33,42116.96
TB12.2697.E,2c,874.33,42116.96
TB12.2697.E,3a,957.42,54413.88
TB12.2697.E,3b,698.05,27866
TB12.2697.E,3c,698.05,27866
TB12.2697.E,4a,564.31,16137.1
TB12.2697.E,4b,388.63,7270.37
TB12.2697.E,4c,388.63,7270.37
Sample,Feature,Length (um),Area (um2)
TB12.3023.A,1a,4210.28,954388.33
TB12.3023.A,1b,3827.24,447091.12
TB12.3023.A,1c,3147.3,323419.79
TB12.3023.A,2a,693.45,19897.22
TB12.3023.A,2b,568.15,9353.55
TB12.3023.A,2c,510.46,6395.63
TB12.3023.A,3a,1391.64,67914.84
TB12.3023.A,3b,1110.46,32799.05
TB12.3023.A,3c,1110.46,32799.05
TB12.3023.A,4a,1471.39,103575.31
TB12.3023.A,4b,1189.19,63041.03
TB12.3023.A,4c,1189.19,63041.03
Sample,Feature,Length (um),Area (um2)
TB12.3023.C,1a,836.71,30180.11
TB12.3023.C,1b,636.31,12991.81
TB12.3023.C,1c,636.31,12991.81
TB12.3023.C,2a,1238.7,54984.28
TB12.3023.C,2b,851.93,18000.41
TB12.3023.C,2c,781.88,14400.81
TB12.3023.C,3a,1109.23,39770.1
TB12.3023.C,3b,892.32,11311.86
TB12.3023.C,3c,892.32,11311.86
TB12.3023.C,4a,1083.25,44286.87
TB12.3023.C,4b,886.84,18501.66
TB12.3023.C,4c,877.36,16741.26
Sample,Feature,Length (um),Area (um2)
TB12.3023.E,1a,666.85,18505.8
TB12.3023.E,1b,547.34,7914.94
TB12.3023.E,1c,547.34,7914.94
TB12.3023.E,2a,929.27,36524.66
TB12.3023.E,2b,776.05,18147.75
TB12.3023.E,2c,729.38,14972.84
TB12.3023.E,3a,842.72,41201.56
TB12.3023.E,3b,733.02,27461.26
TB12.3023.E,3c,584.94,17989.87
TB12.3023.E,4a,688.86,21186.74
TB12.3023.E,4b,581.84,12150.2
TB12.3023.E,4c,581.84,12150.2
Sample,Feature,Length (um),Area (um2)
TB12.3057.A,1a,1034.18,35305.67
TB12.3057.A,1b,887.46,17432.14
TB12.3057.A,1c,887.46,17432.14
TB12.3057.A,2a,1483.44,114758.78
TB12.3057.A,2b,1159.71,57942.32
TB12.3057.A,2c,836.97,33789.25
TB12.3057.A,3a,805.33,28118.13
TB12.3057.A,3b,687.25,14801.65
TB12.3057.A,3c,687.25,14801.65
TB12.3057.A,4a,871.63,29839.75
TB12.3057.A,4b,731.25,15549.89
TB12.3057.A,4c,680.15,14791.24
Sample,Feature,Length (um),Area (um2)
TB12.3057.C,1a,1150.63,62811.24
TB12.3057.C,1b,972.98,39578.97
TB12.3057.C,1c,972.98,39578.97
TB12.3057.C,2a,1046.85,55331.03
TB12.3057.C,2b,861.17,33370.33
TB12.3057.C,2c,847.02,30098.16
TB12.3057.C,3a,2395.58,172495.53
TB12.3057.C,3b,2081.8,97046.39
TB12.3057.C,3c,2008.99,84280.36
TB12.3057.C,4a,1199.04,56414.61
TB12.3057.C,4b,1057.97,25442.09
TB12.3057.C,4c,970.86,20558.61
Sample,Region,Length (um),Area (um2)
TB12.3057.E,1a,679.32,21120.98
TB12.3057.E,1b,574.97,11185.61
TB12.3057.E,1c,574.97,11185.61
TB12.3057.E,2a,648.86,12468.35
TB12.3057.E,2b,567.4,5408.69
TB12.3057.E,2c,567.4,5408.69
TB12.3057.E,3a,1182.61,51484.57
TB12.3057.E,3b,1012.26,25865.02
TB12.3057.E,3c,1012.26,25865.02
TB12.3057.E,4a,896.81,35891.64
TB12.3057.E,4b,742.52,19263.45
TB12.3057.E,4c,742.52,19263.45
Sample,Feature,Length (um),Area (um2)
TB12.3158.A,1a,562.41,13202.4
TB12.3158.A,1b,421.96,5147.4
TB12.3158.A,1c,421.96,5147.4
TB12.3158.A,2a,976.95,52478.66
TB12.3158.A,2b,769.61,27909.93
TB12.3158.A,2c,769.61,27909.93
TB12.3158.A,3a,440.13,8837.49
TB12.3158.A,3b,303.76,3050.16
TB12.3158.A,3c,303.76,3050.16
TB12.3158.A,4a,1140.58,57396.14
TB12.3158.A,4b,993.73,21325.42
TB12.3158.A,4c,993.73,21325.42
Sample,Feature,Length (um),Area (um2)
TB12.3158.C,1a,779.49,31859.05
TB12.3158.C,1b,599.91,17177.38
TB12.3158.C,1c,599.91,17177.38
TB12.3158.C,2a,1037.02,53717.6
TB12.3158.C,2b,858.8,25411.21
TB12.3158.C,2c,817.3,23508.25
TB12.3158.C,3a,1018.16,55143.79
TB12.3158.C,3b,807.9,22725.75
TB12.3158.C,3c,807.9,22725.75
TB12.3158.C,4a,999.53,36139.62
TB12.3158.C,4b,679.43,15001.83
TB12.3158.C,4c,679.43,15001.83
Sample,Feature,Length (um),Area (um2)
TB12.3158.E,1a,2594.98,396623.23
TB12.3158.E,1b,1626.38,148058.96
TB12.3158.E,1c,1626.38,148058.96
TB12.3158.E,2a,1907.96,195101.06
TB12.3158.E,2b,1457.85,111686.91
TB12.3158.E,2c,1457.85,111686.91
TB12.3158.E,3a,1416.64,96130.87
TB12.3158.E,3b,1090.4,53204.93
TB12.3158.E,3c,1090.4,53204.93
TB12.3158.E,4a,719.59,26634.22
TB12.3158.E,4b,550.57,10003.27
TB12.3158.E,4c,550.57,10003.27
Sample,Feature,Length (um),Area (um2)
TB12.3267.A,1a,881.7,34290.12
TB12.3267.A,1b,691.76,19509.55
TB12.3267.A,1c,691.76,19509.55
TB12.3267.A,2a,1199.11,68939.18
TB12.3267.A,2b,925.78,34721.97
TB12.3267.A,2c,925.78,34721.97
TB12.3267.A,3a,1102.19,65043.27
TB12.3267.A,3b,870.76,36085.91
TB12.3267.A,3c,870.76,36085.91
TB12.3267.A,4a,530.04,16113.01
TB12.3267.A,4b,409.64,8739.48
TB12.3267.A,4c,409.64,8739.48
Sample,Feature,Length (um),Area (um2)
TB12.3267.C,1a,2604.07,235185.29
TB12.3267.C,1b,2002.61,90093.16
TB12.3267.C,1c,1843.92,77852.22
TB12.3267.C,2a,1191.06,56909.83
TB12.3267.C,2b,966.84,25700.62
TB12.3267.C,2c,966.84,25700.62
TB12.3267.C,3a,2241.01,152299.37
TB12.3267.C,3b,1753.52,64997.21
TB12.3267.C,3c,1753.52,64997.21
TB12.3267.C,4a,557.89,14325.38
TB12.3267.C,4b,402.33,6149.4
TB12.3267.C,4c,402.33,6149.4
Sample,Feature,Length (um),Area (um2)
TB12.3267.E,1a,1071.21,38504.68
TB12.3267.E,1b,883.91,17820.94
TB12.3267.E,1c,833.57,14876.58
TB12.3267.E,2a,683.55,19941.4
TB12.3267.E,2b,582.1,10598.89
TB12.3267.E,2c,545.44,9228.8
TB12.3267.E,3a,1101.39,56309.81
TB12.3267.E,3b,976.56,31505.14
TB12.3267.E,3c,788.01,21281.37
TB12.3267.E,4a,915.05,35747.06
TB12.3267.E,4b,764.09,18146.49
TB12.3267.E,4c,764.09,18146.49
Sample,Feature,Length (um),Area (um2)
TB12.3445.A,1a,2596.23,291017.2
TB12.3445.A,1b,2066.94,177252.38
TB12.3445.A,1c,2066.94,177252.38
TB12.3445.A,2a,1601.59,129852.73
TB12.3445.A,2b,1325.35,83792.66
TB12.3445.A,2c,1257.8,77753.08
TB12.3445.A,3a,3516.1,372427.36
TB12.3445.A,3b,2790.89,146092.36
TB12.3445.A,3c,2790.89,146092.36
TB12.3445.A,4a,1742.19,117742.05
TB12.3445.A,4b,1556.59,65793.88
TB12.3445.A,4c,1494.55,59025.02
Sample,Feature,Length (um),Area (um2)
TB12.3445.C,1a,1221.02,77206.02
TB12.3445.C,1b,964.98,45466.32
TB12.3445.C,1c,998.4,42813.49
TB12.3445.C,2a,6993.38,1768833.2
TB12.3445.C,2b,5713.83,992658.95
TB12.3445.C,2c,5713.83,992658.95
