Sample,1,2,3,4
﻿TB12.2644.A,42.78001136,53.81921167,51.23509763,59.49303868
TB12.2644.C,41.6403253,46.27071818,16.38022303,36.30962474
TB12.2644.E,40.95370196,10.42519097,18.2353096,22.842289
TB12.2697.A,14.84203531,0,0,0
TB12.2697.C,8.9285952,13.37463887,0,0
TB12.2697.E,8.473335193,0,0,0
TB12.3023.A,27.6613255,31.62350124,0,0
TB12.3023.C,0,19.99732228,0,9.514821913
TB12.3023.E,0,17.49478585,34.49000519,0
TB12.3057.A,0,41.68467883,0,4.878812648
TB12.3057.C,0,9.805626735,13.15456453,19.19449228
TB12.3057.E,0,0,0,0
TB12.3158.A,0,0,0,0
TB12.3158.C,0,7.488663468,0,0
TB12.3158.E,0,0,0,0
TB12.3267.A,0,0,0,0
TB12.3267.C,13.58698041,0,0,0
TB12.3267.E,16.52191186,12.92673101,32.4511175,0
TB12.3445.A,0,7.207767363,0,10.28797815
TB12.3445.C,5.834714576,0,0,4.621584296
TB12.3445.E,1.294723982,10.82901708,30.08815819,12.29627427
TB12.3570.A,13.55338466,0,4.807069054,7.009087718
TB12.3570.C,0,0,0,0
TB12.3570.E,0,22.37767162,9.968919879,0
TB13.0002.A,31.73782485,23.68177362,33.00364494,15.99654822
TB13.0002.C,23.45087423,20.76388661,0,19.76345621
TB13.0002.E,10.03139978,5.510719115,23.77596207,17.57874357
TB13.0029.A,0,0,18.00468267,26.91141218
TB13.0029.C,0,0,6.808111556,0
TB13.0029.E,0,0,0,0
TB13.0081.A,18.83114231,22.35030939,18.68169355,20.60040974
TB13.0081.C,29.44653629,23.49328632,34.03728208,24.29718602
TB13.0081.E,26.55738019,25.38705501,18.59791865,32.96751992
TB13.0083.A,7.173572979,0,13.23297667,3.98466852
TB13.0083.C,0,0,11.96580663,7.700671899
TB13.0083.E,0,0,0,0
TB13.0084.A,9.480805313,6.461952769,0,0
TB13.0084.C,0,0,4.295892637,0
TB13.0084.E,0,0,0,0
TB13.0147.A,2.548508442,5.397372764,0,4.862801007
TB13.0147.C,11.8855823,18.6345046,12.36828653,0
TB13.0147.E,15.40588629,14.66853414,2.810475679,0
TB13.0189.A,23.51680693,22.25678551,12.67384738,33.41882404
TB13.0189.C,12.95150939,14.17911087,25.82159613,15.35081886
TB13.0189.E,13.16253489,0,12.7069009,19.15050198
TB13.0218.A,9.328659054,0,7.620839056,13.34056001
TB13.0218.C,19.08527943,0,25.66895013,13.03213033
TB13.0218.E,35.1599123,16.22003903,28.32974463,0
TB13.0240.A,0,0,0,16.03799839
TB13.0240.C,0,0,0,0
TB13.0240.E,10.05342904,0,11.08613509,0
TB13.0242.A,30.62031178,54.77284603,24.27080403,33.53258108
TB13.0242.C,15.34126334,20.35466856,43.76143671,31.9197983
TB13.0242.E,32.15796047,25.20980528,23.70038616,36.47448234
TB13.0612.A,12.84388966,17.03079556,29.60591471,31.89350493
TB13.0612.C,24.21162167,41.81289191,41.14113177,33.60984213
TB13.0612.E,39.31532859,37.51252884,12.11448679,56.85786577
TB13.0626.A,17.85722687,42.1936857,21.02452404,18.12550661
TB13.0626.C,27.86299578,19.10100652,18.16898283,16.99227595
TB13.0626.E,48.23140914,26.93060578,20.67142167,37.93693551
TB13.0763.A,16.91348007,19.17548298,0,0
TB13.0763.C,26.2129112,0,14.64539029,13.41099529
TB13.0763.E,14.6802729,19.86282481,31.68741302,28.35241894
TB13.0774.A,11.41007355,10.383029,0,11.02316158
TB13.0774.C,0,0,0,0
TB13.0774.E,0,0,0,0
TB13.0775.A,7.548354532,10.52054093,20.61544207,9.386424887
TB13.0775.C,5.495286794,8.541815198,30.97592772,27.13718594
TB13.0775.E,26.17711993,5.850367371,0,0
TB13.0776.A,9.556326165,6.153797879,0,0
TB13.0776.C,16.68157259,13.71443267,5.84960902,21.49591697
TB13.0776.E,11.98675403,7.564683447,12.60279816,0
TB13.0828.A,32.78465753,22.42831228,10.77336304,19.15964609
TB13.0828.C,32.54621589,29.19517947,18.62776195,21.5827865
TB13.0828.E,36.29162454,30.92217055,28.61122089,33.68247794
TB13.1084.A,8.144047995,0,0,0
TB13.1084.C,0,0,0,0
TB13.1084.E,0,0,0,0
TB13.1085.A,0,0,0,0
TB13.1085.C,0,5.715277411,6.627819022,0
TB13.1085.E,4.899150742,7.472056976,0,11.04064608
TB13.1101.A,0,25.56494372,0,0
TB13.1101.C,9.144312001,21.93014946,13.28178757,24.50710719
TB13.1101.E,0,6.234567048,0,11.58936871
TB13.1155.A,5.193497421,7.266138692,7.005132603,15.08503451
TB13.1155.C,4.4479572,0,12.49325152,11.06851452
TB13.1155.E,8.762095751,11.37245829,6.310291473,17.97199141
TB13.1376.A,23.66199098,36.04607858,37.65702824,28.87856104
TB13.1376.C,34.14198076,30.81390434,30.84045188,36.26965437
TB13.1376.E,17.30988224,16.63112466,44.08999284,23.76430321
TB13.1416.A,33.07411373,43.84285057,46.47439902,22.67961183
TB13.1416.C,28.28681402,18.24603884,34.92254061,16.48031761
TB13.1416.E,22.38245508,24.86521946,28.64510935,43.81133834
TB13.1436.A,70.5267299,64.79827311,35.89226215,54.87062975
